Plate	Patient	Cell_type	Amplicon	Well	Count
AS-187	RN	Monocytes	RN_RUNX1_c	A1	3
AS-187	RN	Monocytes	RN_RUNX1_c	A2	77
AS-187	RN	Monocytes	RN_RUNX1_c	A3	32
AS-187	RN	Monocytes	RN_RUNX1_c	A4	1600
AS-187	RN	Monocytes	RN_RUNX1_c	A5	2
AS-187	RN	Monocytes	RN_RUNX1_c	A6	18
AS-187	RN	Monocytes	RN_RUNX1_c	A7	0
AS-187	RN	Monocytes	RN_RUNX1_c	A8	114
AS-187	RN	Monocytes	RN_RUNX1_c	A9	7
AS-187	RN	Monocytes	RN_RUNX1_c	A10	1
AS-187	RN	Monocytes	RN_RUNX1_c	A11	1
AS-187	RN	Monocytes	RN_RUNX1_c	A12	14
AS-187	RN	Monocytes	RN_RUNX1_c	A13	27
AS-187	RN	Monocytes	RN_RUNX1_c	A14	2
AS-187	RN	Monocytes	RN_RUNX1_c	A15	0
AS-187	RN	Monocytes	RN_RUNX1_c	A16	16
AS-187	RN	Monocytes	RN_RUNX1_c	A17	12
AS-187	RN	Monocytes	RN_RUNX1_c	A18	16
AS-187	RN	Monocytes	RN_RUNX1_c	A19	23
AS-187	RN	Monocytes	RN_RUNX1_c	A20	17
AS-187	RN	Monocytes	RN_RUNX1_c	A21	5
AS-187	RN	Monocytes	RN_RUNX1_c	A22	123
AS-187	RN	Monocytes	RN_RUNX1_c	A23	10
AS-187	RN	Monocytes	RN_RUNX1_c	A24	8
AS-187	RN	Monocytes	RN_RUNX1_c	B1	6
AS-187	RN	Monocytes	RN_RUNX1_c	B2	121
AS-187	RN	Monocytes	RN_RUNX1_c	B3	30
AS-187	RN	Monocytes	RN_RUNX1_c	B4	1375
AS-187	RN	Monocytes	RN_RUNX1_c	B5	2
AS-187	RN	Monocytes	RN_RUNX1_c	B6	111
AS-187	RN	Monocytes	RN_RUNX1_c	B7	13
AS-187	RN	Monocytes	RN_RUNX1_c	B8	192
AS-187	RN	Monocytes	RN_RUNX1_c	B9	127
AS-187	RN	Monocytes	RN_RUNX1_c	B10	3
AS-187	RN	Monocytes	RN_RUNX1_c	B11	3
AS-187	RN	Monocytes	RN_RUNX1_c	B12	273
AS-187	RN	Monocytes	RN_RUNX1_c	B13	190
AS-187	RN	Monocytes	RN_RUNX1_c	B14	6
AS-187	RN	Monocytes	RN_RUNX1_c	B15	5
AS-187	RN	Monocytes	RN_RUNX1_c	B16	71
AS-187	RN	Monocytes	RN_RUNX1_c	B17	166
AS-187	RN	Monocytes	RN_RUNX1_c	B18	282
AS-187	RN	Monocytes	RN_RUNX1_c	B19	94
AS-187	RN	Monocytes	RN_RUNX1_c	B20	112
AS-187	RN	Monocytes	RN_RUNX1_c	B21	46
AS-187	RN	Monocytes	RN_RUNX1_c	B22	336
