Plate	Patient	Cell_type	Amplicon	Well	Count
AS-194	RN	nBCs	RN_RUNX1_c	A1	2
AS-194	RN	nBCs	RN_RUNX1_c	A2	9
AS-194	RN	nBCs	RN_RUNX1_c	A3	17
AS-194	RN	nBCs	RN_RUNX1_c	A4	312
AS-194	RN	nBCs	RN_RUNX1_c	A5	2
AS-194	RN	nBCs	RN_RUNX1_c	A6	54
AS-194	RN	nBCs	RN_RUNX1_c	A7	24
AS-194	RN	nBCs	RN_RUNX1_c	A8	105
AS-194	RN	nBCs	RN_RUNX1_c	A9	62
AS-194	RN	nBCs	RN_RUNX1_c	A10	9
AS-194	RN	nBCs	RN_RUNX1_c	A11	4
AS-194	RN	nBCs	RN_RUNX1_c	A12	84
AS-194	RN	nBCs	RN_RUNX1_c	A13	160
AS-194	RN	nBCs	RN_RUNX1_c	A14	2
AS-194	RN	nBCs	RN_RUNX1_c	A15	0
AS-194	RN	nBCs	RN_RUNX1_c	A16	76
AS-194	RN	nBCs	RN_RUNX1_c	A17	46
AS-194	RN	nBCs	RN_RUNX1_c	A18	70
AS-194	RN	nBCs	RN_RUNX1_c	A19	94
AS-194	RN	nBCs	RN_RUNX1_c	A20	15
AS-194	RN	nBCs	RN_RUNX1_c	A21	520
AS-194	RN	nBCs	RN_RUNX1_c	A22	19
AS-194	RN	nBCs	RN_RUNX1_c	A23	4
AS-194	RN	nBCs	RN_RUNX1_c	A24	14
AS-194	RN	nBCs	RN_RUNX1_c	B1	15
AS-194	RN	nBCs	RN_RUNX1_c	B2	43
AS-194	RN	nBCs	RN_RUNX1_c	B3	16
AS-194	RN	nBCs	RN_RUNX1_c	B4	169
AS-194	RN	nBCs	RN_RUNX1_c	B5	0
AS-194	RN	nBCs	RN_RUNX1_c	B6	135
AS-194	RN	nBCs	RN_RUNX1_c	B7	44
AS-194	RN	nBCs	RN_RUNX1_c	B8	197
AS-194	RN	nBCs	RN_RUNX1_c	B9	140
AS-194	RN	nBCs	RN_RUNX1_c	B10	8
AS-194	RN	nBCs	RN_RUNX1_c	B11	141
AS-194	RN	nBCs	RN_RUNX1_c	B12	279
AS-194	RN	nBCs	RN_RUNX1_c	B13	341
AS-194	RN	nBCs	RN_RUNX1_c	B14	2
AS-194	RN	nBCs	RN_RUNX1_c	B15	5
AS-194	RN	nBCs	RN_RUNX1_c	B16	146
AS-194	RN	nBCs	RN_RUNX1_c	B17	104
AS-194	RN	nBCs	RN_RUNX1_c	B18	157
AS-194	RN	nBCs	RN_RUNX1_c	B19	175
AS-194	RN	nBCs	RN_RUNX1_c	B20	59
AS-194	RN	nBCs	RN_RUNX1_c	B21	44
AS-194	RN	nBCs	RN_RUNX1_c	B22	55
AS-194	RN	nBCs	RN_RUNX1_c	B23	20
AS-194	RN	nBCs	RN_RUNX1_c	B24	426
AS-194	RN	nBCs	RN_RUNX1_c	C1	13
AS-194	RN	nBCs	RN_RUNX1_c	C2	51
AS-194	RN	nBCs	RN_RUNX1_c	C3	12
AS-194	RN	nBCs	RN_RUNX1_c	C4	123
AS-194	RN	nBCs	RN_RUNX1_c	C5	12
AS-194	RN	nBCs	RN_RUNX1_c	C6	84
AS-194	RN	nBCs	RN_RUNX1_c	C7	33
AS-194	RN	nBCs	RN_RUNX1_c	C8	154
AS-194	RN	nBCs	RN_RUNX1_c	C9	185
AS-194	RN	nBCs	RN_RUNX1_c	C10	3
AS-194	RN	nBCs	RN_RUNX1_c	C11	8
AS-194	RN	nBCs	RN_RUNX1_c	C12	191
AS-194	RN	nBCs	RN_RUNX1_c	C13	235
AS-194	RN	nBCs	RN_RUNX1_c	C14	6
AS-194	RN	nBCs	RN_RUNX1_c	C15	1
AS-194	RN	nBCs	RN_RUNX1_c	C16	117
AS-194	RN	nBCs	RN_RUNX1_c	C17	66
AS-194	RN	nBCs	RN_RUNX1_c	C18	849
AS-194	RN	nBCs	RN_RUNX1_c	C19	138
AS-194	RN	nBCs	RN_RUNX1_c	C20	49
AS-194	RN	nBCs	RN_RUNX1_c	C21	29
AS-194	RN	nBCs	RN_RUNX1_c	C22	31
AS-194	RN	nBCs	RN_RUNX1_c	C23	15
AS-194	RN	nBCs	RN_RUNX1_c	C24	18
AS-194	RN	nBCs	RN_RUNX1_c	D1	14
AS-194	RN	nBCs	RN_RUNX1_c	D2	50
AS-194	RN	nBCs	RN_RUNX1_c	D3	16
AS-194	RN	nBCs	RN_RUNX1_c	D4	186
AS-194	RN	nBCs	RN_RUNX1_c	D5	1
AS-194	RN	nBCs	RN_RUNX1_c	D6	148
AS-194	RN	nBCs	RN_RUNX1_c	D7	66
AS-194	RN	nBCs	RN_RUNX1_c	D8	178
AS-194	RN	nBCs	RN_RUNX1_c	D9	128
AS-194	RN	nBCs	RN_RUNX1_c	D10	10
AS-194	RN	nBCs	RN_RUNX1_c	D11	10
AS-194	RN	nBCs	RN_RUNX1_c	D12	155
AS-194	RN	nBCs	RN_RUNX1_c	D13	3675
AS-194	RN	nBCs	RN_RUNX1_c	D14	6
AS-194	RN	nBCs	RN_RUNX1_c	D15	1
AS-194	RN	nBCs	RN_RUNX1_c	D16	108
AS-194	RN	nBCs	RN_RUNX1_c	D17	119
AS-194	RN	nBCs	RN_RUNX1_c	D18	123
AS-194	RN	nBCs	RN_RUNX1_c	D19	187
AS-194	RN	nBCs	RN_RUNX1_c	D20	55
AS-194	RN	nBCs	RN_RUNX1_c	D21	21
AS-194	RN	nBCs	RN_RUNX1_c	D22	24
AS-194	RN	nBCs	RN_RUNX1_c	D23	17
