Plate	Patient	Cell_type	Amplicon	Well	Count
AS-207	EL	CD34+	EL_SRSF2	A1	1
AS-207	EL	CD34+	EL_SRSF2	A2	3
AS-207	EL	CD34+	EL_SRSF2	A3	10
AS-207	EL	CD34+	EL_SRSF2	A4	11
AS-207	EL	CD34+	EL_SRSF2	A5	0
AS-207	EL	CD34+	EL_SRSF2	A6	10
AS-207	EL	CD34+	EL_SRSF2	A7	8
AS-207	EL	CD34+	EL_SRSF2	A8	14
AS-207	EL	CD34+	EL_SRSF2	A9	16
AS-207	EL	CD34+	EL_SRSF2	A10	0
AS-207	EL	CD34+	EL_SRSF2	A11	1
AS-207	EL	CD34+	EL_SRSF2	A12	15
AS-207	EL	CD34+	EL_SRSF2	A13	19
AS-207	EL	CD34+	EL_SRSF2	A14	0
AS-207	EL	CD34+	EL_SRSF2	A15	2
AS-207	EL	CD34+	EL_SRSF2	A16	29
AS-207	EL	CD34+	EL_SRSF2	A17	18
AS-207	EL	CD34+	EL_SRSF2	A18	16
AS-207	EL	CD34+	EL_SRSF2	A19	37
AS-207	EL	CD34+	EL_SRSF2	A20	47
AS-207	EL	CD34+	EL_SRSF2	A21	22
AS-207	EL	CD34+	EL_SRSF2	A22	29
AS-207	EL	CD34+	EL_SRSF2	A23	19
AS-207	EL	CD34+	EL_SRSF2	A24	0
AS-207	EL	CD34+	EL_SRSF2	B1	20
AS-207	EL	CD34+	EL_SRSF2	B2	44
AS-207	EL	CD34+	EL_SRSF2	B3	28
AS-207	EL	CD34+	EL_SRSF2	B4	28
AS-207	EL	CD34+	EL_SRSF2	B5	4
AS-207	EL	CD34+	EL_SRSF2	B6	152
AS-207	EL	CD34+	EL_SRSF2	B7	43
AS-207	EL	CD34+	EL_SRSF2	B8	56
AS-207	EL	CD34+	EL_SRSF2	B9	39
AS-207	EL	CD34+	EL_SRSF2	B10	1
AS-207	EL	CD34+	EL_SRSF2	B11	21
AS-207	EL	CD34+	EL_SRSF2	B12	369
AS-207	EL	CD34+	EL_SRSF2	B13	200
AS-207	EL	CD34+	EL_SRSF2	B14	5
AS-207	EL	CD34+	EL_SRSF2	B15	4
AS-207	EL	CD34+	EL_SRSF2	B16	761
AS-207	EL	CD34+	EL_SRSF2	B17	126
AS-207	EL	CD34+	EL_SRSF2	B18	209
AS-207	EL	CD34+	EL_SRSF2	B19	835
AS-207	EL	CD34+	EL_SRSF2	B20	760
AS-207	EL	CD34+	EL_SRSF2	B21	71
AS-207	EL	CD34+	EL_SRSF2	B22	104
AS-207	EL	CD34+	EL_SRSF2	B23	46
AS-207	EL	CD34+	EL_SRSF2	B24	24
AS-207	EL	CD34+	EL_SRSF2	C1	33
AS-207	EL	CD34+	EL_SRSF2	C2	42
AS-207	EL	CD34+	EL_SRSF2	C3	36
AS-207	EL	CD34+	EL_SRSF2	C4	55
AS-207	EL	CD34+	EL_SRSF2	C5	1
AS-207	EL	CD34+	EL_SRSF2	C6	46
AS-207	EL	CD34+	EL_SRSF2	C7	92
AS-207	EL	CD34+	EL_SRSF2	C8	72
AS-207	EL	CD34+	EL_SRSF2	C9	67
AS-207	EL	CD34+	EL_SRSF2	C10	1
AS-207	EL	CD34+	EL_SRSF2	C11	19
AS-207	EL	CD34+	EL_SRSF2	C12	641
AS-207	EL	CD34+	EL_SRSF2	C13	94
AS-207	EL	CD34+	EL_SRSF2	C14	11
AS-207	EL	CD34+	EL_SRSF2	C15	0
AS-207	EL	CD34+	EL_SRSF2	C16	210
AS-207	EL	CD34+	EL_SRSF2	C17	471
AS-207	EL	CD34+	EL_SRSF2	C18	189
AS-207	EL	CD34+	EL_SRSF2	C19	239
AS-207	EL	CD34+	EL_SRSF2	C20	207
AS-207	EL	CD34+	EL_SRSF2	C21	240
AS-207	EL	CD34+	EL_SRSF2	C22	183
AS-207	EL	CD34+	EL_SRSF2	C23	65
AS-207	EL	CD34+	EL_SRSF2	C24	21
AS-207	EL	CD34+	EL_SRSF2	D1	17
AS-207	EL	CD34+	EL_SRSF2	D2	34
AS-207	EL	CD34+	EL_SRSF2	D3	22
AS-207	EL	CD34+	EL_SRSF2	D4	572
AS-207	EL	CD34+	EL_SRSF2	D5	2
AS-207	EL	CD34+	EL_SRSF2	D6	46
AS-207	EL	CD34+	EL_SRSF2	D7	26
AS-207	EL	CD34+	EL_SRSF2	D8	58
AS-207	EL	CD34+	EL_SRSF2	D9	92
AS-207	EL	CD34+	EL_SRSF2	D10	3
AS-207	EL	CD34+	EL_SRSF2	D11	3
AS-207	EL	CD34+	EL_SRSF2	D12	675
AS-207	EL	CD34+	EL_SRSF2	D13	138
AS-207	EL	CD34+	EL_SRSF2	D14	8
AS-207	EL	CD34+	EL_SRSF2	D15	4
AS-207	EL	CD34+	EL_SRSF2	D16	121
AS-207	EL	CD34+	EL_SRSF2	D17	551
AS-207	EL	CD34+	EL_SRSF2	D18	576
AS-207	EL	CD34+	EL_SRSF2	D19	149
AS-207	EL	CD34+	EL_SRSF2	D20	1033
AS-207	EL	CD34+	EL_SRSF2	D21	60
AS-207	EL	CD34+	EL_SRSF2	D22	83
AS-207	EL	CD34+	EL_SRSF2	D23	168
AS-207	EL	CD34+	EL_SRSF2	D24	37
AS-207	EL	CD34+	EL_SRSF2	E1	30
