Plate	Patient	Cell_type	Amplicon	Well	Count
AS-222	GR	nBCs	GR_TET2a	A1	0
AS-222	GR	nBCs	GR_TET2a	A2	0
AS-222	GR	nBCs	GR_TET2a	A3	23
AS-222	GR	nBCs	GR_TET2a	A4	4
AS-222	GR	nBCs	GR_TET2a	A5	7
AS-222	GR	nBCs	GR_TET2a	A6	0
AS-222	GR	nBCs	GR_TET2a	A7	1
AS-222	GR	nBCs	GR_TET2a	A8	2
AS-222	GR	nBCs	GR_TET2a	A9	0
AS-222	GR	nBCs	GR_TET2a	A10	0
AS-222	GR	nBCs	GR_TET2a	A11	0
AS-222	GR	nBCs	GR_TET2a	A12	9
AS-222	GR	nBCs	GR_TET2a	A13	11
AS-222	GR	nBCs	GR_TET2a	A14	0
AS-222	GR	nBCs	GR_TET2a	A15	2
AS-222	GR	nBCs	GR_TET2a	A16	1
AS-222	GR	nBCs	GR_TET2a	A17	1
AS-222	GR	nBCs	GR_TET2a	A18	2
AS-222	GR	nBCs	GR_TET2a	A19	0
AS-222	GR	nBCs	GR_TET2a	A20	10
AS-222	GR	nBCs	GR_TET2a	A21	0
AS-222	GR	nBCs	GR_TET2a	A22	0
AS-222	GR	nBCs	GR_TET2a	A23	0
AS-222	GR	nBCs	GR_TET2a	A24	0
AS-222	GR	nBCs	GR_TET2a	B1	0
AS-222	GR	nBCs	GR_TET2a	B2	1
AS-222	GR	nBCs	GR_TET2a	B3	14
AS-222	GR	nBCs	GR_TET2a	B4	2
AS-222	GR	nBCs	GR_TET2a	B5	11
AS-222	GR	nBCs	GR_TET2a	B6	0
AS-222	GR	nBCs	GR_TET2a	B7	1
AS-222	GR	nBCs	GR_TET2a	B8	2
AS-222	GR	nBCs	GR_TET2a	B9	1
AS-222	GR	nBCs	GR_TET2a	B10	0
AS-222	GR	nBCs	GR_TET2a	B11	0
AS-222	GR	nBCs	GR_TET2a	B12	4
AS-222	GR	nBCs	GR_TET2a	B13	16
AS-222	GR	nBCs	GR_TET2a	B14	1
AS-222	GR	nBCs	GR_TET2a	B15	2
AS-222	GR	nBCs	GR_TET2a	B16	0
AS-222	GR	nBCs	GR_TET2a	B17	1
AS-222	GR	nBCs	GR_TET2a	B18	0
AS-222	GR	nBCs	GR_TET2a	B19	1
AS-222	GR	nBCs	GR_TET2a	B20	17
AS-222	GR	nBCs	GR_TET2a	B21	0
AS-222	GR	nBCs	GR_TET2a	B22	0
AS-222	GR	nBCs	GR_TET2a	B23	0
AS-222	GR	nBCs	GR_TET2a	B24	0
AS-222	GR	nBCs	GR_TET2a	C1	0
AS-222	GR	nBCs	GR_TET2a	C2	5
AS-222	GR	nBCs	GR_TET2a	C3	17
AS-222	GR	nBCs	GR_TET2a	C4	19
AS-222	GR	nBCs	GR_TET2a	C5	2
AS-222	GR	nBCs	GR_TET2a	C6	4
AS-222	GR	nBCs	GR_TET2a	C7	0
AS-222	GR	nBCs	GR_TET2a	C8	4
AS-222	GR	nBCs	GR_TET2a	C9	2
AS-222	GR	nBCs	GR_TET2a	C10	0
AS-222	GR	nBCs	GR_TET2a	C11	0
AS-222	GR	nBCs	GR_TET2a	C12	17
