Plate	Patient	Cell_type	Amplicon	Genotype	Well	Count
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A1	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A2	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A3	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A4	1
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A5	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A6	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A7	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A8	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A9	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A10	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A11	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A12	8
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A13	11
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A14	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A15	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A16	1
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A17	5
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A18	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A19	2
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A20	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A21	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A22	1
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A23	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	A24	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B1	2
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B2	5
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B3	1
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B4	1
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B5	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B6	11
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B7	4
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B8	9
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B9	4
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B10	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B11	2
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B12	199
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B13	1364
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B14	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B15	0
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B16	44
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B17	210
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B18	24
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B19	92
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B20	7
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B21	5
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B22	22
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B23	2
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	B24	2
AS-201	RN	CD34+/38-	RN_RUNX1_c	MT	C1	1
