Plate	Patient	Cell_type	Well	Count
AS-196	RN	nBCs	A1	45
AS-196	RN	nBCs	A2	182
AS-196	RN	nBCs	A3	123
AS-196	RN	nBCs	A4	225
AS-196	RN	nBCs	A5	22
AS-196	RN	nBCs	A6	211
AS-196	RN	nBCs	A7	66
AS-196	RN	nBCs	A8	219
AS-196	RN	nBCs	A9	222
AS-196	RN	nBCs	A10	13
AS-196	RN	nBCs	A11	19
AS-196	RN	nBCs	A12	749
AS-196	RN	nBCs	A13	245
AS-196	RN	nBCs	A14	57
AS-196	RN	nBCs	A15	16
AS-196	RN	nBCs	A16	225
AS-196	RN	nBCs	A17	314
AS-196	RN	nBCs	A18	357
AS-196	RN	nBCs	A19	192
AS-196	RN	nBCs	A20	389
AS-196	RN	nBCs	A21	506
AS-196	RN	nBCs	A22	950
AS-196	RN	nBCs	A23	122
AS-196	RN	nBCs	A24	2900
AS-196	RN	nBCs	B1	413
AS-196	RN	nBCs	B2	728
AS-196	RN	nBCs	B3	336
AS-196	RN	nBCs	B4	795
AS-196	RN	nBCs	B5	212
AS-196	RN	nBCs	B6	3739
AS-196	RN	nBCs	B7	235
AS-196	RN	nBCs	B8	878
AS-196	RN	nBCs	B9	844
AS-196	RN	nBCs	B10	206
AS-196	RN	nBCs	B11	1355
AS-196	RN	nBCs	B12	6462
AS-196	RN	nBCs	B13	4345
AS-196	RN	nBCs	B14	234
AS-196	RN	nBCs	B15	84
AS-196	RN	nBCs	B16	1116
AS-196	RN	nBCs	B17	1172
AS-196	RN	nBCs	B18	8194
AS-196	RN	nBCs	B19	3226
AS-196	RN	nBCs	B20	5210
AS-196	RN	nBCs	B21	1049
AS-196	RN	nBCs	B22	635
AS-196	RN	nBCs	B23	2911
AS-196	RN	nBCs	B24	9035
AS-196	RN	nBCs	C1	79
AS-196	RN	nBCs	C2	3872
AS-196	RN	nBCs	C3	218
AS-196	RN	nBCs	C4	440
AS-196	RN	nBCs	C5	33
AS-196	RN	nBCs	C6	404
AS-196	RN	nBCs	C7	141
AS-196	RN	nBCs	C8	527
AS-196	RN	nBCs	C9	465
AS-196	RN	nBCs	C10	58
AS-196	RN	nBCs	C11	22
AS-196	RN	nBCs	C12	524
AS-196	RN	nBCs	C13	1029
AS-196	RN	nBCs	C14	260
AS-196	RN	nBCs	C15	50
AS-196	RN	nBCs	C16	468
AS-196	RN	nBCs	C17	2587
AS-196	RN	nBCs	C18	740
AS-196	RN	nBCs	C19	320
AS-196	RN	nBCs	C20	1256
