Plate	Patient	Cell_type	Well	Count
AS-219	GR	nBCs	A1	2
AS-219	GR	nBCs	A2	33
AS-219	GR	nBCs	A3	55
AS-219	GR	nBCs	A4	24
AS-219	GR	nBCs	A5	13
AS-219	GR	nBCs	A6	15
AS-219	GR	nBCs	A7	44
AS-219	GR	nBCs	A8	14
AS-219	GR	nBCs	A9	113
AS-219	GR	nBCs	A10	0
AS-219	GR	nBCs	A11	4
AS-219	GR	nBCs	A12	100
AS-219	GR	nBCs	A13	6
AS-219	GR	nBCs	A14	0
AS-219	GR	nBCs	A15	1
AS-219	GR	nBCs	A16	8
AS-219	GR	nBCs	A17	13
AS-219	GR	nBCs	A18	4
AS-219	GR	nBCs	A19	54
AS-219	GR	nBCs	A20	6
AS-219	GR	nBCs	A21	5
AS-219	GR	nBCs	A22	47
AS-219	GR	nBCs	A23	119
AS-219	GR	nBCs	A24	104
AS-219	GR	nBCs	B1	20
AS-219	GR	nBCs	B2	24146
AS-219	GR	nBCs	B3	161
AS-219	GR	nBCs	B4	108
AS-219	GR	nBCs	B5	46
AS-219	GR	nBCs	B6	45
AS-219	GR	nBCs	B7	113
AS-219	GR	nBCs	B8	72
AS-219	GR	nBCs	B9	238
AS-219	GR	nBCs	B10	5
AS-219	GR	nBCs	B11	20
AS-219	GR	nBCs	B12	309
AS-219	GR	nBCs	B13	62
AS-219	GR	nBCs	B14	9
AS-219	GR	nBCs	B15	4
AS-219	GR	nBCs	B16	52
AS-219	GR	nBCs	B17	64
AS-219	GR	nBCs	B18	110
AS-219	GR	nBCs	B19	118
AS-219	GR	nBCs	B20	66
AS-219	GR	nBCs	B21	40
AS-219	GR	nBCs	B22	74
AS-219	GR	nBCs	B23	224
AS-219	GR	nBCs	B24	222
AS-219	GR	nBCs	C1	46
AS-219	GR	nBCs	C2	130
AS-219	GR	nBCs	C3	358
AS-219	GR	nBCs	C4	65
AS-219	GR	nBCs	C5	178
AS-219	GR	nBCs	C6	60
AS-219	GR	nBCs	C7	70
AS-219	GR	nBCs	C8	49
AS-219	GR	nBCs	C9	168
AS-219	GR	nBCs	C10	4
AS-219	GR	nBCs	C11	17
AS-219	GR	nBCs	C12	227
AS-219	GR	nBCs	C13	45
AS-219	GR	nBCs	C14	1
AS-219	GR	nBCs	C15	3
AS-219	GR	nBCs	C16	30
AS-219	GR	nBCs	C17	28
AS-219	GR	nBCs	C18	47
AS-219	GR	nBCs	C19	143
AS-219	GR	nBCs	C20	2263
AS-219	GR	nBCs	C21	11
AS-219	GR	nBCs	C22	32
AS-219	GR	nBCs	C23	167
AS-219	GR	nBCs	C24	163
AS-219	GR	nBCs	D1	54
AS-219	GR	nBCs	D2	221
AS-219	GR	nBCs	D3	80794
AS-219	GR	nBCs	D4	169
AS-219	GR	nBCs	D5	81
AS-219	GR	nBCs	D6	131
AS-219	GR	nBCs	D7	224
AS-219	GR	nBCs	D8	179
AS-219	GR	nBCs	D9	530
AS-219	GR	nBCs	D10	2
AS-219	GR	nBCs	D11	34
AS-219	GR	nBCs	D12	472
AS-219	GR	nBCs	D13	120
AS-219	GR	nBCs	D14	13
AS-219	GR	nBCs	D15	18
AS-219	GR	nBCs	D16	125
AS-219	GR	nBCs	D17	110
AS-219	GR	nBCs	D18	131
AS-219	GR	nBCs	D19	286
AS-219	GR	nBCs	D20	124
AS-219	GR	nBCs	D21	66
AS-219	GR	nBCs	D22	112
AS-219	GR	nBCs	D23	465
AS-219	GR	nBCs	D24	4012
AS-219	GR	nBCs	E1	2
AS-219	GR	nBCs	E2	107
AS-219	GR	nBCs	E3	138
AS-219	GR	nBCs	E4	74
AS-219	GR	nBCs	E5	150
AS-219	GR	nBCs	E6	44
AS-219	GR	nBCs	E7	80
AS-219	GR	nBCs	E8	50
AS-219	GR	nBCs	E9	219
AS-219	GR	nBCs	E10	4
AS-219	GR	nBCs	E11	18
AS-219	GR	nBCs	E12	194
AS-219	GR	nBCs	E13	39
AS-219	GR	nBCs	E14	4
AS-219	GR	nBCs	E15	3
AS-219	GR	nBCs	E16	27
AS-219	GR	nBCs	E17	34
AS-219	GR	nBCs	E18	945
AS-219	GR	nBCs	E19	59
AS-219	GR	nBCs	E20	92
AS-219	GR	nBCs	E21	1498
AS-219	GR	nBCs	E22	56
AS-219	GR	nBCs	E23	194
AS-219	GR	nBCs	E24	168
AS-219	GR	nBCs	F1	38
AS-219	GR	nBCs	F2	190
AS-219	GR	nBCs	F3	451
AS-219	GR	nBCs	F4	206
AS-219	GR	nBCs	F5	53
AS-219	GR	nBCs	F6	76
AS-219	GR	nBCs	F7	210
AS-219	GR	nBCs	F8	145
AS-219	GR	nBCs	F9	504
AS-219	GR	nBCs	F10	130
AS-219	GR	nBCs	F11	32
AS-219	GR	nBCs	F12	78560
AS-219	GR	nBCs	F13	137
AS-219	GR	nBCs	F14	4
AS-219	GR	nBCs	F15	125
AS-219	GR	nBCs	F16	130
AS-219	GR	nBCs	F17	175
AS-219	GR	nBCs	F18	108
AS-219	GR	nBCs	F19	207
AS-219	GR	nBCs	F20	120
AS-219	GR	nBCs	F21	96
AS-219	GR	nBCs	F22	131
AS-219	GR	nBCs	F23	484
AS-219	GR	nBCs	F24	413
AS-219	GR	nBCs	G1	9
AS-219	GR	nBCs	G2	90
AS-219	GR	nBCs	G3	271
AS-219	GR	nBCs	G4	60
AS-219	GR	nBCs	G5	45
AS-219	GR	nBCs	G6	24
AS-219	GR	nBCs	G7	82
AS-219	GR	nBCs	G8	60
AS-219	GR	nBCs	G9	208
AS-219	GR	nBCs	G10	1
AS-219	GR	nBCs	G11	11
AS-219	GR	nBCs	G12	232
AS-219	GR	nBCs	G13	99
AS-219	GR	nBCs	G14	8
AS-219	GR	nBCs	G15	4
AS-219	GR	nBCs	G16	34
AS-219	GR	nBCs	G17	38
AS-219	GR	nBCs	G18	86
AS-219	GR	nBCs	G19	99
AS-219	GR	nBCs	G20	32
AS-219	GR	nBCs	G21	18
AS-219	GR	nBCs	G22	52
AS-219	GR	nBCs	G23	6837
AS-219	GR	nBCs	G24	212
AS-219	GR	nBCs	H1	27
AS-219	GR	nBCs	H2	144
AS-219	GR	nBCs	H3	186
AS-219	GR	nBCs	H4	123
AS-219	GR	nBCs	H5	36
AS-219	GR	nBCs	H6	113
AS-219	GR	nBCs	H7	119
AS-219	GR	nBCs	H8	111
AS-219	GR	nBCs	H9	280
AS-219	GR	nBCs	H10	3
AS-219	GR	nBCs	H11	32
AS-219	GR	nBCs	H12	311
AS-219	GR	nBCs	H13	76
AS-219	GR	nBCs	H14	6
AS-219	GR	nBCs	H15	136
AS-219	GR	nBCs	H16	53
